,Start Date,Label,Original Port Type,Charging Time (hh:mm:ss),Energy (kWh),Total Duration (hh:mm:ss),Port Number,CenterLon,CenterLat,Level 1,Level 2
3902,2015-02-19,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,66.006901,0.0,16,-122.16,37.444,0,8
3903,2015-02-19,1,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,38.438562999999995,0.0,11,-122.163,37.444,1,5
3904,2015-02-19,2,"['Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2']",0.0,121.611644,0.0,29,-122.162,37.447,3,13
3905,2015-02-19,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,98.08310900000001,0.0,17,-122.11321931407944,37.422,0,17
3906,2015-02-19,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,44.874953,0.0,16,-122.13899999999995,37.445,0,8
3907,2015-02-20,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,82.70634600000001,0.0,18,-122.16,37.444,0,9
3908,2015-02-20,1,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,33.218111,0.0,10,-122.163,37.444,0,5
3909,2015-02-20,2,"['Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 1', 'Level 2', 'Level 1']",0.0,83.824521,0.0,33,-122.162,37.447,5,14
3910,2015-02-20,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,108.074097,0.0,11,-122.11321931407944,37.422,0,11
3911,2015-02-20,4,"['Level 2', 'Level 2', 'Level 2']",0.0,19.137902,0.0,6,-122.13899999999995,37.445,0,3
3912,2015-02-21,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,50.190090999999995,0.0,14,-122.16,37.444,0,7
