,0
2018-07-02,2.3052267385278187
2018-07-03,2.3566035879951754
2018-07-04,2.376083243615369
2018-07-05,2.428517454061476
2018-07-06,2.4190880148669924
2018-07-07,2.4436590872941903
2018-07-08,2.3600874113172194
2018-07-09,2.415780055833078
2018-07-10,2.4884790461493838
2018-07-11,2.5136002196162552
2018-07-12,2.3963402851607705
2018-07-13,2.376436486270768
2018-07-14,2.4008630190114135
2018-07-15,2.3884687216223175
2018-07-16,2.3568007328611644
2018-07-17,2.36098628582245
2018-07-18,2.378739495665589
2018-07-19,2.3381995734576284
2018-07-20,2.382214915352252
2018-07-21,2.3413935535841226
2018-07-22,2.2596144576335604
2018-07-23,2.355033084174345
2018-07-24,2.419098354896709
2018-07-25,2.394102927703503
2018-07-26,2.3109200842598088
2018-07-27,2.291784109928012
2018-07-28,2.2742107729487815
2018-07-29,2.3337968470782346
2018-07-30,2.3193513859821993
2018-07-31,2.31790516209925
2018-08-01,2.2759717458724644
2018-08-02,2.3226431544903683
2018-08-03,2.3165484894929094
2018-08-04,2.343743963881323
2018-08-05,2.288087366272132
2018-08-06,2.325154970571129
2018-08-07,2.3554256693558733
2018-08-08,2.413003354666168
2018-08-09,2.3195888541535563
2018-08-10,2.2992964370789073
2018-08-11,2.374377587320126
2018-08-12,2.5030178954817
2018-08-13,2.4159656851282953
2018-08-14,2.3446069561447143
2018-08-15,2.3706962963778517
2018-08-16,2.467391012060388
2018-08-17,2.4374540238913567
2018-08-18,2.385321619458672
2018-08-19,2.3408088321443836
2018-08-20,2.4351535689833295
2018-08-21,2.432195347079864
2018-08-22,2.403871997890131
2018-08-23,2.375895403129934
2018-08-24,2.3627833998669114
2018-08-25,2.333298594689318
2018-08-26,2.373101942722551
2018-08-27,2.4243307736954693
2018-08-28,2.4824785236418574
2018-08-29,2.447530676688012
2018-08-30,2.3419028025696162
2018-08-31,2.3159085071400574
2018-09-01,2.442589273321918
2018-09-02,2.5212764688838716
2018-09-03,2.496165561242565
2018-09-04,2.374051344888204
2018-09-05,2.4464660969691217
2018-09-06,2.5088397700166194
2018-09-07,2.4836378811499196
2018-09-08,2.521311905123965
2018-09-09,2.474969750844365
2018-09-10,2.4307861764758223
2018-09-11,2.488132226136984
2018-09-12,2.576311597906567
2018-09-13,2.5062458040561006
2018-09-14,2.4071177494137204
2018-09-15,2.3157631586786165
2018-09-16,2.3893516959498995
2018-09-17,2.441549637749075
2018-09-18,2.4867074297459943
2018-09-19,2.43639737156657
2018-09-20,2.4467481104094544
2018-09-21,2.4114595574411934
2018-09-22,2.458665438282625
2018-09-23,2.386565218129582
2018-09-24,2.4784750938160327
2018-09-25,2.51903642526162
2018-09-26,2.5311133889078783
2018-09-27,2.393832567921567
2018-09-28,2.395594863210708
2018-09-29,2.4697076147111243
2018-09-30,2.5376612603477033
2018-10-01,2.451945208728949
2018-10-02,2.4311808172451626
2018-10-03,2.3897519309113027
2018-10-04,2.455891255900931
2018-10-05,2.46976101394001
2018-10-06,2.479299898351341
2018-10-07,2.4159548951761214
2018-10-08,2.4756489561426225
2018-10-09,2.5155819038204137
2018-10-10,2.50560956353347
2018-10-11,2.414181069064949
2018-10-12,2.4432868965290844
2018-10-13,2.4860845506196863
2018-10-14,2.4823819443716935
2018-10-15,2.459223445669688
2018-10-16,2.439441410894954
2018-10-17,2.4436534507155607
2018-10-18,2.433680585894546
2018-10-19,2.4639186131583983
2018-10-20,2.4462561323663294
2018-10-21,2.506073912883831
2018-10-22,2.479692893869332
2018-10-23,2.4224534000037354
2018-10-24,2.3998520837023656
2018-10-25,2.471241714071863
2018-10-26,2.4544446465178082
2018-10-27,2.4723061545138343
2018-10-28,2.4422689652365452
2018-10-29,2.3789378041794764
2018-10-30,2.4248421461616605
2018-10-31,2.514208237886302
2018-11-01,2.5156582997079666
2018-11-02,2.449280874003486
2018-11-03,2.4249440827566744
2018-11-04,2.408564338873449
2018-11-05,2.4805329375233405
2018-11-06,2.4932738911587786
2018-11-07,2.523584631291746
2018-11-08,2.465361184564678
2018-11-09,2.453253494670767
2018-11-10,2.477869673237367
2018-11-11,2.4770779544065498
2018-11-12,2.4367015238863727
2018-11-13,2.5087262622695623
2018-11-14,2.561202254398482
2018-11-15,2.5313826622626636
2018-11-16,2.494968552611872
2018-11-17,2.480139799627085
2018-11-18,2.449559852066751
2018-11-19,2.5308041715591507
2018-11-20,2.498684802106112
2018-11-21,2.526853322983359
2018-11-22,2.495775786751386
2018-11-23,2.450305899632081
2018-11-24,2.4351162534401825
2018-11-25,2.5810983461957964
2018-11-26,2.5278661581561863
2018-11-27,2.5031911777507556
2018-11-28,2.4936299692008523
2018-11-29,2.559515700333242
2018-11-30,2.5004644476093687
2018-12-01,2.4166943999912434
2018-12-02,2.3832774064741753
2018-12-03,2.4281614098411834
2018-12-04,2.4253511040916
2018-12-05,2.4485710648627754
2018-12-06,2.4730846795782377
2018-12-07,2.4399719218158302
2018-12-08,2.40144051557338
2018-12-09,2.404864584408171
2018-12-10,2.442555893453035
2018-12-11,2.4248623466114156
2018-12-12,2.448703228625556
2018-12-13,2.487119485335258
2018-12-14,2.444649350708225
2018-12-15,2.4043046648540383
2018-12-16,2.4477415506170903
2018-12-17,2.40332892639587
2018-12-18,2.4220235894836892
2018-12-19,2.511673737405463
2018-12-20,2.5288795408229636
2018-12-21,2.4263258944512947
2018-12-22,2.392656820553856
2018-12-23,2.480767897289893
2018-12-24,2.526011916980901
2018-12-25,2.454955768803239
2018-12-26,2.4462892902084765
2018-12-27,2.540219786330617
2018-12-28,2.550556785701067
2018-12-29,2.4550954091470647
2018-12-30,2.4664557486668994
2018-12-31,2.603929177755431
2019-01-01,2.611551294544412
2019-01-02,2.5741237562834574
2019-01-03,2.496173088348653
2019-01-04,2.460730867213508
2019-01-05,2.54853228349521
2019-01-06,2.626266834565909
2019-01-07,2.5626749691278867
2019-01-08,2.543110819446177
2019-01-09,2.623003145354202
2019-01-10,2.6315383797518193
2019-01-11,2.585173702504618
2019-01-12,2.538680999416944
2019-01-13,2.590391646703129
2019-01-14,2.6541013753548794
2019-01-15,2.6412788294147007
2019-01-16,2.6207490732784446
2019-01-17,2.6191196618367005
2019-01-18,2.698521397942345
2019-01-19,2.703426563738265
2019-01-20,2.6984976614673855
2019-01-21,2.7057718527062047
2019-01-22,2.6601606945277
2019-01-23,2.6253814048219564
2019-01-24,2.6448380222171566
2019-01-25,2.6431283273378274
2019-01-26,2.6037883435236497
2019-01-27,2.5935270880204433
2019-01-28,2.5855903289401097
2019-01-29,2.5970372266525272
2019-01-30,2.6007635384222887
2019-01-31,2.6362802069341176
2019-02-01,2.6098287857862204
2019-02-02,2.5569047718217246
2019-02-03,2.5900954159344325
2019-02-04,2.58507473539791
2019-02-05,2.5631796865317553
2019-02-06,2.5760374200996736
2019-02-07,2.6188458161771226
2019-02-08,2.6259078953258226
2019-02-09,2.5868243593517755
2019-02-10,2.489549999569336
2019-02-11,2.4652979514909252
2019-02-12,2.5060934333208595
2019-02-13,2.568869354232256
2019-02-14,2.5754111927617456
2019-02-15,2.553846170918143
2019-02-16,2.4726910406076574
2019-02-17,2.477481918756117
2019-02-18,2.5131730946684434
2019-02-19,2.553893069073436
2019-02-20,2.527505426580045
