,Label,ar,ma,AIC,r^2,RMSE,MAPE,MAE,SMAPE
103,1.0,0.0,3.0,3618.254436814769,-0.3701187885001178,0.5480246191511675,0.15340326241852797,0.42567121875730374,7.391273497923449
104,1.0,0.0,4.0,3618.143094557533,-0.24749668658987511,0.5229265090849564,0.14877999387195898,0.41127792917822253,7.13905456897686
105,1.0,0.0,5.0,3617.3261013878173,-0.26775866702240836,0.5271561191773344,0.14877931467728633,0.4081469748843168,7.080149637765959
106,1.0,0.0,6.0,3618.1895216859743,-0.19503397298430047,0.5118127303087644,0.143374761701802,0.3938349398125531,6.837108660821368
107,1.0,0.0,7.0,3613.340965763432,-0.182696880871418,0.5091639930395766,0.14227544066566658,0.3911363866218484,6.790571265749323
108,1.0,0.0,8.0,3615.112138186552,-0.18280732616809803,0.5091877664410204,0.14205737273361785,0.39072130591231385,6.782518505609321
109,1.0,0.0,9.0,3606.4004940774134,-0.3015871629509643,0.5341430553885993,0.1478533731151619,0.4072423727964522,7.069056930269288
110,1.0,1.0,0.0,3850.694523578107,-1.7698722562464275,0.7792033807143878,0.2179497119384977,0.6230650214411275,10.782181164659107
111,1.0,1.0,1.0,3610.782794799955,-4.405459376307386,1.0885221277430055,0.2981844463619043,0.8530502349850356,15.1311449130518
112,1.0,1.0,2.0,3620.9668638229814,-1.0046070385458816,0.6628810188209391,0.18656257647049582,0.5132655030316478,8.899085941538749
113,1.0,1.0,3.0,3621.593744222205,-0.28234145650018183,0.5301793389930469,0.14826649176998896,0.4106143321659092,7.123314643078686
114,1.0,1.0,4.0,3620.4620403094077,-0.24651332254473224,0.5227203648481771,0.14673135810925308,0.40467701177956183,7.023303659558717
115,1.0,1.0,5.0,3619.587597970444,-0.20019397676170358,0.5129165110348525,0.1434615458930262,0.3942796320734881,6.843152731965004
116,1.0,1.0,6.0,3617.655546253865,-0.21085885854862974,0.5151903500006192,0.1441731968440953,0.39613177083714485,6.873922434051392
117,1.0,1.0,7.0,3614.980392310813,-0.1909092292693022,0.5109286880178034,0.14261860934317133,0.3921033120400315,6.806294915514223
118,1.0,1.0,8.0,3616.5274146826628,-0.1988513160039289,0.5126295300977488,0.14310850495906918,0.39401811064641823,6.837054827241384
119,1.0,1.0,9.0,3615.618713610601,-0.19274800887933208,0.5113229762078281,0.14306748600393704,0.39337442295182623,6.827262218293206
120,1.0,2.0,0.0,3766.256898205487,-1.1988894733054276,0.694260821866376,0.19513213374900393,0.5370186043115021,9.351638717871978
121,1.0,2.0,1.0,3651.2870726300052,-4.432221326538357,1.091213389090474,0.30642483882384536,0.8514407258950584,15.728043358116302
122,1.0,2.0,2.0,3617.3000563517367,-1.9116678491903052,0.7988989925292583,0.2222580347737583,0.6121557062705281,10.711375336337182
123,1.0,2.0,3.0,3618.873933243973,-0.34583354044663994,0.5431460577751844,0.15367746528462328,0.42645691509728395,7.411255453070797
124,1.0,2.0,4.0,3608.6564693169425,-0.25791504151666156,0.5251055555672973,0.1477555734567301,0.4065460919620028,7.054239054676944
125,1.0,2.0,5.0,3610.9079939779294,-0.1992490921357002,0.5127145676988386,0.14286333282150795,0.39351583189747824,6.827220647134367
126,1.0,2.0,6.0,3613.989830763746,-0.19803135850582,0.5124541929570455,0.1434896044563987,0.3945561351380597,6.846901346029727
127,1.0,2.0,7.0,3615.8402503218485,-0.19812290820984213,0.5124737726337866,0.14349875843956975,0.39452900706563127,6.846395979926521
128,1.0,2.0,8.0,3617.724952992929,-0.20361794918190546,0.5136476266932929,0.1438798325171683,0.39566677168825587,6.865114771252282
129,1.0,2.0,9.0,3611.4632436228103,-0.23549725596419768,0.5204054673391707,0.1451516481962867,0.3992685599441047,6.926370713588709
