Start Date,Label,Charging Time (hh:mm:ss),Energy (kWh),Total Duration (hh:mm:ss),Port Number,CenterLon,CenterLat,Level 1,Level 2
2012-07-27,0.0,13079.827692307696,719.2314935538463,17336.85282051282,388.0,-122.163,37.444,8,190
2012-08-03,0.0,11857.605641025639,608.2277754461535,16087.530512820522,341.0,-122.163,37.444,15,163
2012-08-10,0.0,13846.766666666674,775.9661100000003,17892.250000000004,445.0,-122.163,37.444,11,217
2012-08-17,0.0,13747.11666666667,717.27334,17734.63333333333,438.0,-122.163,37.444,18,210
2012-08-24,0.0,14437.266666666666,723.3541960000002,20912.7,420.0,-122.163,37.444,36,192
2012-08-31,0.0,12338.633333333326,635.850157,14908.549999999996,403.0,-122.163,37.444,21,191
2012-09-07,0.0,15952.502222222214,770.4210725875002,20821.90638888888,495.0,-122.163,37.444,27,234
2012-09-14,0.0,15923.005190865715,798.6927253419478,20609.955011929116,488.0,-122.163,37.444,32,228
2012-09-21,0.0,17169.142586912058,827.4444050705517,21804.555265848678,509.0,-122.163,37.444,41,234
2012-09-28,0.0,15930.28333333333,744.9400120000005,20580.350000000006,484.0,-122.163,37.444,38,223
2012-10-05,0.0,15222.316666666664,695.1181640000003,19226.066666666655,428.0,-122.163,37.444,48,190
2012-10-12,0.0,12332.966666666665,550.4787049999999,16900.833333333332,340.0,-122.163,37.444,36,152
2012-10-19,0.0,14189.749999999993,659.4085430000002,17700.166666666675,415.0,-122.163,37.444,37,189
2012-10-26,0.0,19068.446075433236,846.8437026727829,25801.92833843019,536.0,-122.163,37.444,58,239
2012-11-02,0.0,19781.40392456677,947.700107327217,25577.63832823648,600.0,-122.163,37.444,48,276
2012-11-09,0.0,18378.35000000001,934.3174150000002,23260.700000000004,551.0,-122.163,37.444,27,262
2012-11-16,0.0,16359.588603425564,837.3010059644268,24214.163833992083,457.0,-122.163,37.444,31,213
2012-11-23,0.0,15827.094729907778,791.4161850355733,20192.052832674577,468.0,-122.163,37.444,40,214
2012-11-30,0.0,18510.466666666674,978.7300479999997,24766.73333333333,552.0,-122.163,37.444,36,258
2012-12-07,0.0,18573.833333333318,911.5385610000001,22554.083333333343,530.0,-122.163,37.444,46,242
2012-12-14,0.0,22575.033333333326,1039.0703679999995,28701.50000000001,592.0,-122.163,37.444,50,271
2012-12-21,0.0,11552.25,603.2480409999998,14580.599999999995,359.0,-122.163,37.444,11,174
2012-12-28,0.0,14129.409678313925,807.2779616772051,16795.034636716588,439.0,-122.163,37.444,15,212
2013-01-04,0.0,17919.178918177302,926.7451265333215,21735.50746854657,539.0,-122.163,37.444,43,248
2013-01-11,0.0,20757.55534717074,1065.078071969756,24640.792589572513,590.0,-122.163,37.444,54,268
2013-01-18,0.0,20817.63938967136,984.5731978197181,26382.115305164323,614.0,-122.163,37.444,58,278
2013-01-25,0.0,21262.66666666667,1029.8463980000001,26571.54999999999,609.0,-122.163,37.444,55,277
2013-02-01,0.0,20831.61666666666,1027.0782150000005,27402.31666666667,593.0,-122.163,37.444,51,271
2013-02-08,0.0,20723.26666666667,1078.3923389999995,26811.933333333327,621.0,-122.163,37.444,37,292
2013-02-15,0.0,17163.309810126586,871.6620746202532,23947.50748945147,528.0,-122.163,37.444,40,244
2013-02-22,0.0,21950.77274323959,1103.7776195570875,29726.234382469684,651.0,-122.163,37.444,53,299
2013-03-01,0.0,21117.1404158215,1043.3256459150969,29469.054486622237,609.0,-122.163,37.444,53,278
2013-03-08,0.0,17336.710364145656,1005.9142839075632,21337.836974789916,555.0,-122.163,37.444,23,266
2013-03-15,0.0,17167.024933333327,985.8065928320003,21780.779599999998,555.0,-122.163,37.444,21,267
2013-03-22,0.0,18243.84721226054,1115.6592497289203,22446.529825287365,558.0,-122.163,37.444,26,266
2013-03-29,0.0,18235.011187739456,1107.5863784390808,23333.940574712644,591.0,-122.163,37.444,21,285
2013-04-05,0.0,16497.000000000004,1011.2000580000004,20575.9,540.0,-122.163,37.444,14,263
2013-04-12,0.0,19115.849999999995,1135.8849099999995,22856.049999999996,585.0,-122.163,37.444,19,283
2013-04-19,0.0,19963.231871345037,1269.7062954736848,24352.9187134503,643.0,-122.163,37.444,19,312
2013-04-26,0.0,23191.418128654976,1488.4139805263162,27635.964619883027,714.0,-122.163,37.444,26,344
2013-05-03,0.0,20001.109364451986,1248.704382559194,25700.13252901688,657.0,-122.163,37.444,21,318
2013-05-10,0.0,23688.093283523096,1394.298371342675,31742.721676590598,775.0,-122.163,37.444,27,374
2013-05-17,0.0,22722.805889239073,1461.1118569383873,28023.42447830811,747.0,-122.163,37.444,15,366
2013-05-24,0.0,21122.691462785846,1303.6288181597429,25659.237982751078,701.0,-122.163,37.444,21,340
2013-05-31,0.0,23384.41954225351,1465.0561256760566,28382.59600938967,748.0,-122.163,37.444,36,356
2013-06-07,0.0,22974.59712441315,1356.6015343239433,27865.990657276987,753.0,-122.163,37.444,29,362
2013-06-14,0.0,23438.13333333333,1424.4388979999994,28106.896666666675,770.0,-122.163,37.444,30,370
2013-06-21,0.0,21389.650000000012,1325.7810609999997,25979.866666666665,731.0,-122.163,37.444,21,355
2013-06-28,0.0,21346.114257028115,1343.9510994698796,27013.262851405623,696.0,-122.163,37.444,22,337
2013-07-05,0.0,19946.02058051702,1205.465061688965,25922.06133632001,664.0,-122.163,37.444,16,324
2013-07-12,0.0,25762.83182912154,1551.6642128411547,32310.27581227436,820.0,-122.163,37.444,46,387
2013-07-19,0.0,23106.029929204713,1460.5930094520445,28482.585118433246,757.0,-122.163,37.444,27,365
2013-07-26,0.0,23345.386737461955,1409.5746845479541,30154.914881566772,774.0,-122.163,37.444,34,370
2013-08-02,0.0,22766.21666666669,1326.3346809999996,27636.4,722.0,-122.163,37.444,34,344
2013-08-09,0.0,22787.99962406015,1342.929693127819,29248.280576441106,723.0,-122.163,37.444,37,343
2013-08-16,0.0,23361.347477389125,1539.0789127272533,27928.390679597545,721.0,-122.163,37.444,19,351
2013-08-23,0.0,21397.22041823576,1270.2328742000461,25848.39632926318,650.0,-122.163,37.444,52,299
2013-08-30,0.0,21590.592229637678,1281.1766480189544,26228.682359760693,627.0,-122.163,37.444,39,294
2013-09-06,0.0,24604.52237041838,1472.3777341055397,35022.60952095691,745.0,-122.163,37.444,53,346
2013-09-13,0.0,19671.954209846914,1153.657634337242,27521.269560197798,631.0,-122.163,37.444,33,299
2013-09-20,0.0,22224.363670411978,1374.280948483146,28331.887640449426,672.0,-122.163,37.444,32,320
2013-09-27,0.0,20519.33452380952,1231.6287460714286,24599.61607142857,618.0,-122.163,37.444,32,293
2013-10-04,0.0,23139.706524367542,1336.569457842634,28906.823479352683,708.0,-122.163,37.444,50,329
2013-10-11,0.0,23084.814507378454,1395.5460713822342,26475.878967737273,714.0,-122.163,37.444,34,340
2013-10-18,0.0,23691.327301587306,1451.3183201608476,29242.440529100524,726.0,-122.163,37.444,34,346
2013-10-25,0.0,24098.831046094063,1447.8924944768457,30838.624710989778,746.0,-122.163,37.444,34,356
2013-11-01,0.0,22045.35276342975,1311.2124100660117,27272.83290805784,723.0,-122.163,37.444,31,346
2013-11-08,0.0,23137.100000000002,1406.594752,28400.316666666655,741.0,-122.163,37.444,31,355
2013-11-15,0.0,21302.36666666667,1260.1637545585581,25771.41936936937,679.0,-122.163,37.444,33,323
2013-11-22,0.0,18230.233333333337,1099.4900184414412,23585.11396396396,616.0,-122.163,37.444,24,296
2013-11-29,0.0,20588.96733333333,1194.5637146000001,24629.856666666667,643.0,-122.163,37.444,35,304
2013-12-06,0.0,27418.42242041328,1518.3448281802873,33039.340229308335,786.0,-122.163,37.444,64,361
2013-12-13,0.0,27813.070983593487,1555.6706399424768,34942.951127047774,795.0,-122.163,37.444,81,357
2013-12-20,0.0,18783.305929326572,1189.1918512772368,22968.468643643904,618.0,-122.163,37.444,26,296
2013-12-27,0.0,18351.73391000567,1114.734669239946,21115.59424497711,611.0,-122.163,37.444,23,294
2014-01-03,0.0,25531.266089994322,1493.9282767600548,29745.222421689567,785.0,-122.163,37.444,61,362
2014-01-10,0.0,24823.27463768117,1468.1320989166666,30635.62795893719,762.0,-122.163,37.444,48,357
2014-01-17,0.0,23455.808695652173,1319.4177950833339,28812.15537439615,713.0,-122.163,37.444,61,326
2014-01-24,0.0,26518.333333333318,1470.5219989999991,31468.783333333322,787.0,-122.163,37.444,61,363
2014-01-31,0.0,27337.55000000001,1613.8764449999996,32727.00000000001,797.0,-122.163,37.444,59,369
2014-02-07,0.0,25542.949999999986,1412.2124309999997,32699.533333333326,731.0,-122.163,37.444,69,331
2014-02-14,0.0,21885.240237099028,1342.3542309790798,26272.0989539749,705.0,-122.163,37.444,31,337
2014-02-21,0.0,23938.376429567637,1391.2403210209197,29181.134379358424,741.0,-122.163,37.444,49,346
2014-02-28,0.0,20465.582780847133,1265.5706509944744,26315.674125230198,641.0,-122.163,37.444,27,307
2014-03-07,0.0,19234.60055248618,1162.2128170055244,23434.709208103126,652.0,-122.163,37.444,24,314
2014-03-14,0.0,26420.033333333336,1483.031874999999,31826.516666666666,801.0,-122.163,37.444,67,367
2014-03-21,0.0,23900.699999999983,1459.7528390000007,29909.783333333326,738.0,-122.163,37.444,46,346
2014-03-28,0.0,24771.98333333333,1472.1293340000004,30597.300000000014,736.0,-122.163,37.444,54,341
2014-04-04,0.0,24218.93333333332,1314.2025110000006,30443.966666666653,708.0,-122.163,37.444,80,314
2014-04-11,0.0,26579.57968189087,1490.2687467278924,30882.112212945653,768.0,-122.163,37.444,82,343
2014-04-18,0.0,24987.158756732668,1368.24821109861,29574.427042318857,689.0,-122.163,37.444,79,305
2014-04-25,0.0,22637.958122223037,1384.5762958983655,26970.52697048505,709.0,-122.163,37.444,51,329
2014-05-02,0.0,22684.5712962963,1333.5226731084645,28830.36631393299,711.0,-122.163,37.444,37,337
2014-05-09,0.0,23429.432142857142,1393.152009166667,29385.300793650793,744.0,-122.163,37.444,34,355
2014-05-16,0.0,21962.90729501917,1270.006523265594,26280.069918263096,714.0,-122.163,37.444,42,336
2014-05-23,0.0,20788.72603831418,1309.935373734406,25564.446748403578,688.0,-122.163,37.444,28,330
2014-05-30,0.0,23180.60459672872,1336.6023771082914,27160.70228426394,727.0,-122.163,37.444,43,342
2014-06-06,0.0,24705.902617201635,1576.06139375738,30120.73801424351,765.0,-122.163,37.444,37,364
2014-06-13,0.0,25733.74472944462,1555.5323177803102,30985.66110952271,826.0,-122.163,37.444,48,389
2014-06-20,0.0,26622.698056625017,1530.9505043540191,31083.948591969838,801.0,-122.163,37.444,67,367
2014-06-27,0.0,27236.397504456323,1530.491037582888,31268.213012477732,792.0,-122.163,37.444,64,364
2014-07-04,0.0,23282.890357178887,1429.7786802020184,27926.719000100922,736.0,-122.163,37.444,38,349
2014-07-11,0.0,25243.32817610064,1451.608461083019,30480.964371069193,737.0,-122.163,37.444,75,331
2014-07-18,0.0,27810.239322154586,1554.5288060275286,34782.985702340215,797.0,-122.163,37.444,83,357
2014-07-25,0.0,29571.473424302247,1653.1769635754752,35154.92970090784,862.0,-122.163,37.444,78,392
2014-08-01,0.0,28158.674865977526,1736.4881384225532,33533.58159357025,868.0,-122.163,37.444,56,406
2014-08-08,0.0,31089.27125477276,1884.1091827034797,36240.560802043416,891.0,-122.163,37.444,69,411
2014-08-15,0.0,27194.402814355286,1706.0511982819892,33494.471343806275,808.0,-122.163,37.444,40,384
2014-08-22,0.0,28926.571567342497,1768.5911928078228,36137.499992490964,849.0,-122.163,37.444,61,394
2014-08-29,0.0,26356.63742872183,1627.1041595570268,30239.809470520166,772.0,-122.163,37.444,64,354
2014-09-05,0.0,32888.258093544464,1915.3719855720249,38052.776026290405,928.0,-122.163,37.444,94,417
2014-09-12,0.0,29807.220642362077,1914.26309272156,38824.55290969516,903.0,-122.163,37.444,63,420
2014-09-19,0.0,31617.806105041494,1901.321394928563,38401.94023476971,946.0,-122.163,37.422,72,439
2014-09-26,0.0,31712.557811303544,2053.7666449804806,39669.404003347365,915.0,-122.163,37.422,52,446
2014-10-03,0.0,31868.630255027387,1965.93597577999,39559.44724537548,936.0,-122.163,37.422,61,454
2014-10-10,0.0,29023.450889045795,1834.0631114275818,35223.150509574356,867.0,-122.163,37.422,54,423
2014-10-17,0.0,31241.788065548473,1899.9659740167324,39778.94326861251,925.0,-122.163,37.422,42,474
2014-10-24,0.0,31666.761522788667,1880.9691082033412,38320.85134529735,902.0,-122.163,37.422,59,445
