,Label,ar,d,ma,AIC
162,0.0,5.0,1.0,2.0,28383.443974542966
163,0.0,5.0,1.0,3.0,28093.671762626782
164,0.0,5.0,1.0,4.0,28095.595266795834
165,0.0,5.0,1.0,5.0,27927.780531994904
166,0.0,5.0,1.0,6.0,27959.00797772888
167,0.0,5.0,1.0,7.0,27946.14470444635
168,0.0,5.0,1.0,8.0,27928.932088736445
169,0.0,5.0,1.0,9.0,27939.20241690909
170,0.0,5.0,2.0,0.0,30356.59426404579
171,0.0,5.0,2.0,1.0,28748.66914767831
172,0.0,5.0,2.0,2.0,28447.23729696883
173,0.0,5.0,2.0,3.0,29190.5175830926
174,0.0,5.0,2.0,4.0,28190.876486211186
175,0.0,5.0,2.0,5.0,28157.934504508645
176,0.0,5.0,2.0,6.0,28632.53664210965
177,0.0,5.0,2.0,7.0,28465.81293594712
178,0.0,5.0,2.0,8.0,28575.270970902056
179,0.0,5.0,2.0,9.0,28552.66089355896
180,0.0,6.0,0.0,0.0,28753.16133002277
181,0.0,6.0,0.0,1.0,28453.830101540407
182,0.0,6.0,0.0,2.0,28393.6147498814
183,0.0,6.0,0.0,3.0,28165.74336624359
184,0.0,6.0,0.0,4.0,28132.22519711606
185,0.0,6.0,0.0,5.0,27966.409277110215
186,0.0,6.0,0.0,6.0,28144.27817786622
187,0.0,6.0,0.0,7.0,27962.87273919321
188,0.0,6.0,0.0,8.0,27950.43284320445
189,0.0,6.0,0.0,9.0,27951.0044199452
190,0.0,6.0,1.0,0.0,28345.49841310355
191,0.0,6.0,1.0,1.0,28339.78229765437
192,0.0,6.0,1.0,2.0,28338.39586925156
193,0.0,6.0,1.0,3.0,28304.399885422736
194,0.0,6.0,1.0,4.0,28298.316226383125
195,0.0,6.0,1.0,5.0,28092.464413128288
196,0.0,6.0,1.0,6.0,27953.44231429119
197,0.0,6.0,1.0,7.0,27902.78365325796
198,0.0,6.0,1.0,8.0,27896.283477015095
199,0.0,6.0,1.0,9.0,28025.441219244836
200,0.0,6.0,2.0,0.0,29651.333480675927
201,0.0,6.0,2.0,1.0,28350.262361421414
202,0.0,6.0,2.0,2.0,28344.718882623645
203,0.0,6.0,2.0,3.0,28343.968976461663
204,0.0,6.0,2.0,4.0,28309.443389714826
205,0.0,6.0,2.0,5.0,28188.50883792999
206,0.0,6.0,2.0,6.0,28362.975956461363
207,0.0,6.0,2.0,7.0,28123.606175127883
208,0.0,6.0,2.0,8.0,28021.57520163816
209,0.0,6.0,2.0,9.0,27992.332728869525
210,0.0,7.0,0.0,0.0,28356.5085955971
211,0.0,7.0,0.0,1.0,28351.023845068463
212,0.0,7.0,0.0,2.0,28349.472632573496
213,0.0,7.0,0.0,3.0,28324.063876594773
214,0.0,7.0,0.0,4.0,28323.183071210104
215,0.0,7.0,0.0,5.0,28112.23687437595
216,0.0,7.0,0.0,6.0,28138.30696823625
217,0.0,7.0,0.0,7.0,28024.005866022257
218,0.0,7.0,0.0,8.0,27907.169658000992
219,0.0,7.0,0.0,9.0,27934.61383923023
220,0.0,7.0,1.0,0.0,28338.269756588707
221,0.0,7.0,1.0,1.0,28243.331144167518
222,0.0,7.0,1.0,2.0,28245.311429705616
223,0.0,7.0,1.0,3.0,28229.232068742112
224,0.0,7.0,1.0,4.0,28089.85615846345
225,0.0,7.0,1.0,5.0,28075.020899282208
226,0.0,7.0,1.0,6.0,28085.406233609
227,0.0,7.0,1.0,7.0,27900.20292612806
228,0.0,7.0,1.0,8.0,27887.564842148637
229,0.0,7.0,1.0,9.0,27934.835578942002
230,0.0,7.0,2.0,0.0,29195.818516057985
231,0.0,7.0,2.0,1.0,28343.138286658286
232,0.0,7.0,2.0,2.0,28354.07031545583
233,0.0,7.0,2.0,3.0,28345.89348895047
234,0.0,7.0,2.0,4.0,28347.364770237986
235,0.0,7.0,2.0,5.0,28341.47358591806
236,0.0,7.0,2.0,6.0,28327.579114917975
237,0.0,7.0,2.0,7.0,28345.354111302826
238,0.0,7.0,2.0,8.0,28039.732336600067
239,0.0,7.0,2.0,9.0,27939.39944199766
240,0.0,8.0,0.0,0.0,28349.51901772403
241,0.0,8.0,0.0,1.0,28345.83707032064
242,0.0,8.0,0.0,2.0,28347.00059295867
243,0.0,8.0,0.0,3.0,28295.372188156918
244,0.0,8.0,0.0,4.0,28336.438135813656
245,0.0,8.0,0.0,5.0,28099.323147108513
246,0.0,8.0,0.0,6.0,28033.390267619005
247,0.0,8.0,0.0,7.0,27928.22492341842
248,0.0,8.0,0.0,8.0,27895.603689295633
249,0.0,8.0,0.0,9.0,27922.67166229659
250,0.0,8.0,1.0,0.0,28336.60402069246
251,0.0,8.0,1.0,1.0,28245.29853830223
252,0.0,8.0,1.0,2.0,28238.914586674815
253,0.0,8.0,1.0,3.0,28232.5398100161
254,0.0,8.0,1.0,4.0,28230.768313322224
255,0.0,8.0,1.0,5.0,28054.086962016772
256,0.0,8.0,1.0,6.0,28072.713957167423
257,0.0,8.0,1.0,7.0,27973.098000495655
258,0.0,8.0,1.0,8.0,27924.55188245893
259,0.0,8.0,1.0,9.0,27928.470314074126
